Param: rdm.Lap.kernel                                     | Grad Mean: 0.002697603311390 | Grad Std: 0.004479050170630
Param: encoder1.2.mamba.0.mamba.D                         | Grad Mean: 0.000000618806325 | Grad Std: 0.000010887468306
Param: encoder1.2.mamba.0.mamba.in_proj.weight            | Grad Mean: 0.000000030427916 | Grad Std: 0.000003873841706
Param: encoder1.2.mamba.0.mamba.conv1d.weight             | Grad Mean: -0.000000673432055 | Grad Std: 0.000059808924561
Param: encoder1.2.mamba.0.mamba.conv1d.bias               | Grad Mean: 0.000000929249381 | Grad Std: 0.000015394545699
Param: encoder1.2.mamba.0.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.2.mamba.0.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.2.mamba.0.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.2.mamba.0.mamba.out_proj.weight           | Grad Mean: 0.000000003276789 | Grad Std: 0.000001574416387
Param: encoder1.2.mamba.0.proj.0.weight                   | Grad Mean: 0.000000053670494 | Grad Std: 0.000008226659702
Param: encoder1.2.mamba.0.proj.0.bias                     | Grad Mean: 0.000000000030200 | Grad Std: 0.000000000729287
Param: encoder1.2.mamba.0.proj.1.weight                   | Grad Mean: 0.000006298733751 | Grad Std: 0.000023784679797
Param: encoder1.2.mamba.0.proj.1.bias                     | Grad Mean: 0.000000608174673 | Grad Std: 0.000009199711712
Param: encoder1.2.mamba.1.norm.weight                     | Grad Mean: 0.000009976789443 | Grad Std: 0.000188044694369
Param: encoder1.2.mamba.1.norm.bias                       | Grad Mean: 0.000002509682417 | Grad Std: 0.000014980751985
Param: encoder1.2.mamba.1.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.2.mamba.1.mamba.D                         | Grad Mean: 0.000001248623448 | Grad Std: 0.000034569839045
Param: encoder1.2.mamba.1.mamba.in_proj.weight            | Grad Mean: -0.000000000787179 | Grad Std: 0.000014389850548
Param: encoder1.2.mamba.1.mamba.conv1d.weight             | Grad Mean: -0.000004973131581 | Grad Std: 0.000139194962685
Param: encoder1.2.mamba.1.mamba.conv1d.bias               | Grad Mean: 0.000002206914587 | Grad Std: 0.000061294929765
Param: encoder1.2.mamba.1.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.2.mamba.1.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.2.mamba.1.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.2.mamba.1.mamba.out_proj.weight           | Grad Mean: 0.000000013503459 | Grad Std: 0.000003744286914
Param: encoder1.2.mamba.1.proj.0.weight                   | Grad Mean: 0.000000302127773 | Grad Std: 0.000007811424439
Param: encoder1.2.mamba.1.proj.0.bias                     | Grad Mean: 0.000000000016944 | Grad Std: 0.000000001282297
Param: encoder1.2.mamba.1.proj.1.weight                   | Grad Mean: 0.000003983164788 | Grad Std: 0.000017825992472
Param: encoder1.2.mamba.1.proj.1.bias                     | Grad Mean: 0.000002642633717 | Grad Std: 0.000007771273886
Param: encoder1.2.norm_act2.0.weight                      | Grad Mean: 0.000008996396900 | Grad Std: 0.000812229351141
Param: encoder1.2.norm_act2.0.bias                        | Grad Mean: -0.000001151511242 | Grad Std: 0.000090226661996
Param: patch_embed2.proj.0.weight                         | Grad Mean: -0.000001275408636 | Grad Std: 0.000088350403530
Param: patch_embed2.proj.0.bias                           | Grad Mean: -0.000000000000390 | Grad Std: 0.000000000029993
Param: patch_embed2.proj.1.weight                         | Grad Mean: 0.000001944461474 | Grad Std: 0.000261072971625
Param: patch_embed2.proj.1.bias                           | Grad Mean: -0.000004531354989 | Grad Std: 0.000506300537381
Param: encoder2.0.norm_act1.0.weight                      | Grad Mean: 0.000011813622223 | Grad Std: 0.000457141955849
Param: encoder2.0.norm_act1.0.bias                        | Grad Mean: -0.000001711952791 | Grad Std: 0.001554890768602
Param: encoder2.0.swin.0.Swin.norm1.weight                | Grad Mean: -0.000000000021968 | Grad Std: 0.000000000085056
Param: encoder2.0.swin.0.Swin.norm1.bias                  | Grad Mean: -0.000000000001721 | Grad Std: 0.000000000065758
Param: encoder2.0.swin.0.Swin.attn.relative_position_bias_table | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000001806
Param: encoder2.0.swin.0.Swin.attn.qkv.weight             | Grad Mean: -0.000000000000000 | Grad Std: 0.000000006065609
Param: encoder2.0.swin.0.Swin.attn.qkv.bias               | Grad Mean: -0.000000001014821 | Grad Std: 0.000000025774922
Param: encoder2.0.swin.0.Swin.attn.proj.weight            | Grad Mean: -0.000000000015590 | Grad Std: 0.000000060179694
Param: encoder2.0.swin.0.Swin.attn.proj.bias              | Grad Mean: -0.000000061273113 | Grad Std: 0.000141132797580
Param: encoder2.0.swin.0.Swin.norm2.weight                | Grad Mean: -0.000000000033007 | Grad Std: 0.000000000130888
Param: encoder2.0.swin.0.Swin.norm2.bias                  | Grad Mean: -0.000000000001289 | Grad Std: 0.000000000078413
Param: encoder2.0.swin.0.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000002 | Grad Std: 0.000000006940709
Param: encoder2.0.swin.0.Swin.mlp.fc1.bias                | Grad Mean: 0.000000001641324 | Grad Std: 0.000000016896525
Param: encoder2.0.swin.0.Swin.mlp.fc2.weight              | Grad Mean: 0.000000000004786 | Grad Std: 0.000000017847253
Param: encoder2.0.swin.0.Swin.mlp.fc2.bias                | Grad Mean: -0.000000061274179 | Grad Std: 0.000141132884892
Param: encoder2.0.swin.0.norm.weight                      | Grad Mean: -0.000000457481974 | Grad Std: 0.000109883876576
Param: encoder2.0.swin.0.norm.bias                        | Grad Mean: -0.000000122549565 | Grad Std: 0.000282265682472
Param: encoder2.0.swin.1.Swin.norm1.weight                | Grad Mean: -0.000000000024787 | Grad Std: 0.000000000104381
Param: encoder2.0.swin.1.Swin.norm1.bias                  | Grad Mean: -0.000000000001472 | Grad Std: 0.000000000073579
Param: encoder2.0.swin.1.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000002521
Param: encoder2.0.swin.1.Swin.attn.qkv.weight             | Grad Mean: -0.000000000000000 | Grad Std: 0.000000005783904
Param: encoder2.0.swin.1.Swin.attn.qkv.bias               | Grad Mean: -0.000000000516309 | Grad Std: 0.000000025414094
Param: encoder2.0.swin.1.Swin.attn.proj.weight            | Grad Mean: -0.000000000006789 | Grad Std: 0.000000041929056
Param: encoder2.0.swin.1.Swin.attn.proj.bias              | Grad Mean: -0.000000162369517 | Grad Std: 0.000096172239864
Param: encoder2.0.swin.1.Swin.norm2.weight                | Grad Mean: -0.000000000101417 | Grad Std: 0.000000000465747
Param: encoder2.0.swin.1.Swin.norm2.bias                  | Grad Mean: 0.000000000000294 | Grad Std: 0.000000000196656
Param: encoder2.0.swin.1.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000002 | Grad Std: 0.000000011419923
Param: encoder2.0.swin.1.Swin.mlp.fc1.bias                | Grad Mean: 0.000000003023281 | Grad Std: 0.000000024396877
Param: encoder2.0.swin.1.Swin.mlp.fc2.weight              | Grad Mean: -0.000000000000567 | Grad Std: 0.000000022313616
Param: encoder2.0.swin.1.Swin.mlp.fc2.bias                | Grad Mean: -0.000000162369972 | Grad Std: 0.000096172465419
Param: encoder2.0.swin.1.norm.weight                      | Grad Mean: -0.000002240263257 | Grad Std: 0.000110323111585
Param: encoder2.0.swin.1.norm.bias                        | Grad Mean: -0.000000324741450 | Grad Std: 0.000192344668903
Param: encoder2.0.mamba.0.norm.weight                     | Grad Mean: 0.000000650685024 | Grad Std: 0.000084093699115
Param: encoder2.0.mamba.0.norm.bias                       | Grad Mean: 0.000000107048287 | Grad Std: 0.000116530514788
Param: encoder2.0.mamba.0.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.0.mamba.D                         | Grad Mean: 0.000000074240930 | Grad Std: 0.000002909638397
Param: encoder2.0.mamba.0.mamba.in_proj.weight            | Grad Mean: 0.000000004285580 | Grad Std: 0.000000727891745
Param: encoder2.0.mamba.0.mamba.conv1d.weight             | Grad Mean: 0.000000527391194 | Grad Std: 0.000026924060876
Param: encoder2.0.mamba.0.mamba.conv1d.bias               | Grad Mean: 0.000000120904019 | Grad Std: 0.000004738450571
Param: encoder2.0.mamba.0.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.0.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.0.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.0.mamba.out_proj.weight           | Grad Mean: 0.000000000504983 | Grad Std: 0.000000365157860
Param: encoder2.0.mamba.0.proj.0.weight                   | Grad Mean: 0.000000022960537 | Grad Std: 0.000004822703431
Param: encoder2.0.mamba.0.proj.0.bias                     | Grad Mean: -0.000000000010418 | Grad Std: 0.000000000296525
Param: encoder2.0.mamba.0.proj.1.weight                   | Grad Mean: 0.000000210585128 | Grad Std: 0.000006273560302
Param: encoder2.0.mamba.0.proj.1.bias                     | Grad Mean: 0.000000250364792 | Grad Std: 0.000053198033129
Param: encoder2.0.mamba.1.norm.weight                     | Grad Mean: 0.000000463507916 | Grad Std: 0.000079562538303
Param: encoder2.0.mamba.1.norm.bias                       | Grad Mean: -0.000000000207213 | Grad Std: 0.000114143731480
Param: encoder2.0.mamba.1.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.mamba.D                         | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.mamba.in_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.mamba.conv1d.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.mamba.conv1d.bias               | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.mamba.out_proj.weight           | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.proj.0.weight                   | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.proj.0.bias                     | Grad Mean: -0.000000000015725 | Grad Std: 0.000000000567957
Param: encoder2.0.mamba.1.proj.1.weight                   | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.1.proj.1.bias                     | Grad Mean: 0.000000008520980 | Grad Std: 0.000056856042647
Param: encoder2.0.mamba.2.norm.weight                     | Grad Mean: -0.000000436923926 | Grad Std: 0.000078366829257
Param: encoder2.0.mamba.2.norm.bias                       | Grad Mean: -0.000000045195520 | Grad Std: 0.000099114404293
Param: encoder2.0.mamba.2.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.mamba.D                         | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.mamba.in_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.mamba.conv1d.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.mamba.conv1d.bias               | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.mamba.out_proj.weight           | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.proj.0.weight                   | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.proj.0.bias                     | Grad Mean: -0.000000000026105 | Grad Std: 0.000000000568715
Param: encoder2.0.mamba.2.proj.1.weight                   | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.0.mamba.2.proj.1.bias                     | Grad Mean: -0.000000015741611 | Grad Std: 0.000049386842875
Param: encoder2.0.norm_act2.0.weight                      | Grad Mean: 0.000007285040738 | Grad Std: 0.000342889397871
Param: encoder2.0.norm_act2.0.bias                        | Grad Mean: -0.000001882986908 | Grad Std: 0.000426899903687
Param: encoder2.1.norm_act1.0.weight                      | Grad Mean: 0.000004667320354 | Grad Std: 0.000286657421384
Param: encoder2.1.norm_act1.0.bias                        | Grad Mean: -0.000001572900828 | Grad Std: 0.000294945260976
Param: encoder2.1.swin.0.Swin.norm1.weight                | Grad Mean: -0.000000000002474 | Grad Std: 0.000000000106442
Param: encoder2.1.swin.0.Swin.norm1.bias                  | Grad Mean: 0.000000000000151 | Grad Std: 0.000000000009602
Param: encoder2.1.swin.0.Swin.attn.relative_position_bias_table | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000001154
Param: encoder2.1.swin.0.Swin.attn.qkv.weight             | Grad Mean: -0.000000000000000 | Grad Std: 0.000000004275152
Param: encoder2.1.swin.0.Swin.attn.qkv.bias               | Grad Mean: 0.000000000142203 | Grad Std: 0.000000007256297
Param: encoder2.1.swin.0.Swin.attn.proj.weight            | Grad Mean: 0.000000000002337 | Grad Std: 0.000000015158406
Param: encoder2.1.swin.0.Swin.attn.proj.bias              | Grad Mean: -0.000000076957427 | Grad Std: 0.000049074340495
Param: encoder2.1.swin.0.Swin.norm2.weight                | Grad Mean: -0.000000000001232 | Grad Std: 0.000000000009135
Param: encoder2.1.swin.0.Swin.norm2.bias                  | Grad Mean: 0.000000000000058 | Grad Std: 0.000000000001689
Param: encoder2.1.swin.0.Swin.mlp.fc1.weight              | Grad Mean: -0.000000000000000 | Grad Std: 0.000000001040963
Param: encoder2.1.swin.0.Swin.mlp.fc1.bias                | Grad Mean: 0.000000000112830 | Grad Std: 0.000000002145275
Param: encoder2.1.swin.0.Swin.mlp.fc2.weight              | Grad Mean: 0.000000000000098 | Grad Std: 0.000000000955854
Param: encoder2.1.swin.0.Swin.mlp.fc2.bias                | Grad Mean: -0.000000076957278 | Grad Std: 0.000049074351409
Param: encoder2.1.swin.0.norm.weight                      | Grad Mean: -0.000001031565944 | Grad Std: 0.000072348680987
Param: encoder2.1.swin.0.norm.bias                        | Grad Mean: -0.000000153915011 | Grad Std: 0.000098148695542
Param: encoder2.1.swin.1.Swin.norm1.weight                | Grad Mean: -0.000000000001804 | Grad Std: 0.000000000016322
Param: encoder2.1.swin.1.Swin.norm1.bias                  | Grad Mean: 0.000000000000322 | Grad Std: 0.000000000003240
Param: encoder2.1.swin.1.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000123
Param: encoder2.1.swin.1.Swin.attn.qkv.weight             | Grad Mean: -0.000000000000000 | Grad Std: 0.000000001653434
Param: encoder2.1.swin.1.Swin.attn.qkv.bias               | Grad Mean: 0.000000000184028 | Grad Std: 0.000000003906711
Param: encoder2.1.swin.1.Swin.attn.proj.weight            | Grad Mean: 0.000000000002271 | Grad Std: 0.000000004000269
Param: encoder2.1.swin.1.Swin.attn.proj.bias              | Grad Mean: -0.000000168926562 | Grad Std: 0.000028648420994
Param: encoder2.1.swin.1.Swin.norm2.weight                | Grad Mean: -0.000000000000003 | Grad Std: 0.000000000000019
Param: encoder2.1.swin.1.Swin.norm2.bias                  | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000006
Param: encoder2.1.swin.1.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000042011
Param: encoder2.1.swin.1.Swin.mlp.fc1.bias                | Grad Mean: 0.000000000000613 | Grad Std: 0.000000000102578
Param: encoder2.1.swin.1.Swin.mlp.fc2.weight              | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000026119
Param: encoder2.1.swin.1.Swin.mlp.fc2.bias                | Grad Mean: -0.000000168926675 | Grad Std: 0.000028648420994
Param: encoder2.1.swin.1.norm.weight                      | Grad Mean: -0.000002541742788 | Grad Std: 0.000073876675742
Param: encoder2.1.swin.1.norm.bias                        | Grad Mean: -0.000000337853493 | Grad Std: 0.000057296831073
Param: encoder2.1.mamba.0.norm.weight                     | Grad Mean: 0.000000387821359 | Grad Std: 0.000055833959777
Param: encoder2.1.mamba.0.norm.bias                       | Grad Mean: 0.000000125382769 | Grad Std: 0.000024931632652
Param: encoder2.1.mamba.0.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.0.mamba.D                         | Grad Mean: 0.000000018701865 | Grad Std: 0.000000732960359
Param: encoder2.1.mamba.0.mamba.in_proj.weight            | Grad Mean: -0.000000001064516 | Grad Std: 0.000001508270884
Param: encoder2.1.mamba.0.mamba.conv1d.weight             | Grad Mean: -0.000000292588766 | Grad Std: 0.000024447548640
Param: encoder2.1.mamba.0.mamba.conv1d.bias               | Grad Mean: 0.000000119885200 | Grad Std: 0.000004698521025
Param: encoder2.1.mamba.0.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.0.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.0.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.0.mamba.out_proj.weight           | Grad Mean: -0.000000000049169 | Grad Std: 0.000000091769088
Param: encoder2.1.mamba.0.proj.0.weight                   | Grad Mean: 0.000000002851062 | Grad Std: 0.000003812090199
Param: encoder2.1.mamba.0.proj.0.bias                     | Grad Mean: -0.000000000004032 | Grad Std: 0.000000000079818
Param: encoder2.1.mamba.0.proj.1.weight                   | Grad Mean: 0.000000176603720 | Grad Std: 0.000005076779871
Param: encoder2.1.mamba.0.proj.1.bias                     | Grad Mean: 0.000000120443275 | Grad Std: 0.000012188126675
Param: encoder2.1.mamba.1.norm.weight                     | Grad Mean: 0.000000467270411 | Grad Std: 0.000054228235967
Param: encoder2.1.mamba.1.norm.bias                       | Grad Mean: 0.000000115827277 | Grad Std: 0.000026459232686
Param: encoder2.1.mamba.1.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.1.mamba.D                         | Grad Mean: -0.000000038435513 | Grad Std: 0.000001506358217
Param: encoder2.1.mamba.1.mamba.in_proj.weight            | Grad Mean: 0.000000000234184 | Grad Std: 0.000000634056221
Param: encoder2.1.mamba.1.mamba.conv1d.weight             | Grad Mean: 0.000000037679420 | Grad Std: 0.000020054461856
Param: encoder2.1.mamba.1.mamba.conv1d.bias               | Grad Mean: 0.000000076804213 | Grad Std: 0.000003010097998
Param: encoder2.1.mamba.1.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.1.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.1.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.1.mamba.out_proj.weight           | Grad Mean: 0.000000000118650 | Grad Std: 0.000000167429178
Param: encoder2.1.mamba.1.proj.0.weight                   | Grad Mean: 0.000000002649387 | Grad Std: 0.000002907310545
Param: encoder2.1.mamba.1.proj.0.bias                     | Grad Mean: -0.000000000003569 | Grad Std: 0.000000000058242
Param: encoder2.1.mamba.1.proj.1.weight                   | Grad Mean: -0.000000223846598 | Grad Std: 0.000005496473477
Param: encoder2.1.mamba.1.proj.1.bias                     | Grad Mean: 0.000000011639449 | Grad Std: 0.000012689039067
Param: encoder2.1.mamba.2.norm.weight                     | Grad Mean: -0.000000155248699 | Grad Std: 0.000052451876400
Param: encoder2.1.mamba.2.norm.bias                       | Grad Mean: 0.000000106608738 | Grad Std: 0.000028815577025
Param: encoder2.1.mamba.2.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.2.mamba.D                         | Grad Mean: 0.000000001525408 | Grad Std: 0.000000059783538
Param: encoder2.1.mamba.2.mamba.in_proj.weight            | Grad Mean: 0.000000000184567 | Grad Std: 0.000000526547581
Param: encoder2.1.mamba.2.mamba.conv1d.weight             | Grad Mean: 0.000000292317878 | Grad Std: 0.000020233375835
Param: encoder2.1.mamba.2.mamba.conv1d.bias               | Grad Mean: 0.000000091575906 | Grad Std: 0.000003589027983
Param: encoder2.1.mamba.2.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.2.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.2.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.1.mamba.2.mamba.out_proj.weight           | Grad Mean: 0.000000000010346 | Grad Std: 0.000000009696949
Param: encoder2.1.mamba.2.proj.0.weight                   | Grad Mean: -0.000000000346374 | Grad Std: 0.000002331529913
Param: encoder2.1.mamba.2.proj.0.bias                     | Grad Mean: 0.000000000003484 | Grad Std: 0.000000000093907
Param: encoder2.1.mamba.2.proj.1.weight                   | Grad Mean: 0.000000088330971 | Grad Std: 0.000005773869816
Param: encoder2.1.mamba.2.proj.1.bias                     | Grad Mean: 0.000000039697454 | Grad Std: 0.000013777114873
Param: encoder2.1.norm_act2.0.weight                      | Grad Mean: 0.000003694918178 | Grad Std: 0.000261850451352
Param: encoder2.1.norm_act2.0.bias                        | Grad Mean: -0.000000926288408 | Grad Std: 0.000112856461783
Param: encoder2.2.norm_act1.0.weight                      | Grad Mean: 0.000003197663773 | Grad Std: 0.000218357599806
Param: encoder2.2.norm_act1.0.bias                        | Grad Mean: -0.000000344330232 | Grad Std: 0.000097271513368
Param: encoder2.2.swin.0.Swin.norm1.weight                | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.norm1.bias                  | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.attn.qkv.weight             | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.attn.qkv.bias               | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.attn.proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.attn.proj.bias              | Grad Mean: -0.000000022770820 | Grad Std: 0.000011504585927
Param: encoder2.2.swin.0.Swin.norm2.weight                | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.norm2.bias                  | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.mlp.fc1.bias                | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.mlp.fc2.weight              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.0.Swin.mlp.fc2.bias                | Grad Mean: -0.000000022770831 | Grad Std: 0.000011504586837
Param: encoder2.2.swin.0.norm.weight                      | Grad Mean: -0.000000251032588 | Grad Std: 0.000048893984058
Param: encoder2.2.swin.0.norm.bias                        | Grad Mean: -0.000000045541604 | Grad Std: 0.000023009171855
Param: encoder2.2.swin.1.Swin.norm1.weight                | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.norm1.bias                  | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.attn.relative_position_bias_table | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.attn.qkv.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.attn.qkv.bias               | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.attn.proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.attn.proj.bias              | Grad Mean: -0.000000056543012 | Grad Std: 0.000007640339390
Param: encoder2.2.swin.1.Swin.norm2.weight                | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.norm2.bias                  | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.mlp.fc1.bias                | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.mlp.fc2.weight              | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.swin.1.Swin.mlp.fc2.bias                | Grad Mean: -0.000000056543055 | Grad Std: 0.000007640339390
Param: encoder2.2.swin.1.norm.weight                      | Grad Mean: -0.000000809907476 | Grad Std: 0.000049671525630
Param: encoder2.2.swin.1.norm.bias                        | Grad Mean: -0.000000113086138 | Grad Std: 0.000015280678781
Param: encoder2.2.mamba.0.norm.weight                     | Grad Mean: 0.000000988827423 | Grad Std: 0.000038601701817
Param: encoder2.2.mamba.0.norm.bias                       | Grad Mean: 0.000000454032346 | Grad Std: 0.000007103995813
Param: encoder2.2.mamba.0.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.mamba.0.mamba.D                         | Grad Mean: 0.000000046067480 | Grad Std: 0.000001805469083
Param: encoder2.2.mamba.0.mamba.in_proj.weight            | Grad Mean: -0.000000005295132 | Grad Std: 0.000002538889703
Param: encoder2.2.mamba.0.mamba.conv1d.weight             | Grad Mean: -0.000000662348953 | Grad Std: 0.000037040346797
Param: encoder2.2.mamba.0.mamba.conv1d.bias               | Grad Mean: 0.000000298767418 | Grad Std: 0.000011709243154
Param: encoder2.2.mamba.0.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.mamba.0.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.mamba.0.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder2.2.mamba.0.mamba.out_proj.weight           | Grad Mean: -0.000000000013093 | Grad Std: 0.000000155288561
